,,20,20,20,50,50,50,100,100,100
,,Obj,Gap,Time,Obj,Gap,Time,Obj,Gap,Time
Concorde,exact,4.67,0.0\%,(1.8 m),8.24,0.0\%,(24 m),12.55,0.0\%,(3.9 h)
LKH-3,meta-H,4.67,0.0\%,(4.4 m),8.24,0.0\%,(28 m),12.55,0.0\%,(1.4 h)
AM,greedy,5.68,21.5\%,(0.2 s),10.40,26.1\%,(11 s),16.13,28.5\%,(2.6 s)
AM,sample,5.48,17.3\%,(1.3 m),9.88,19.8\%,(27 m),15.34,22.2\%,(35 m)
AM,bs,5.21,11.4\%,(1.5 m),9.86,19.6\%,(9 m),15.55,23.9\%,(43 m)
AM-N,greedy,5.20,11.3\%,(0.2 s),9.86,19.6\%,(32 s),15.77,25.6\%,(2.7 s)
AM-N,sample,5.03,7.6\%,(1.3 m),9.38,13.7\%,(27 m),15.01,19.5\%,(32 m)
AM-N,bs,4.88,4.3\%,(1.5 m),9.40,14.0\%,(9 m),15.24,21.4\%,(45 m)
AM-E,greedy,4.91,4.9\%,(0.2 s),8.96,8.7\%,(4.0 s),14.23,13.3\%,(3.8 s)
AM-E,sample,4.80,2.6\%,(1.3 m),8.65,5.0\%,(7 m),13.69,9.0\%,(34 m)
AM-E,bs,4.73,1.3\%,(1.5 m),8.66,5.0\%,(9 m),13.81,10.0\%,(44 m)
AM-nE*,greedy,4.84,3.5\%,(5 s),8.73,5.9\%,(8 s),13.66,8.8\%,(8 s)
AM-nE*,sample,4.74,1.4\%,(9 m),8.48,2.9\%,(7 m),13.14,4.7\%,(31 m)
AM-nE*,bs,4.71,0.8\%,(13 m),8.48,2.8\%,(9 m),13.14,4.7\%,(43 m)
