"epoch","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MAX","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MAX","E_rel_svoA5k_YJ_20231125T173135 - _step","E_rel_svoA5k_YJ_20231125T173135 - _step__MIN","E_rel_svoA5k_YJ_20231125T173135 - _step__MAX","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MIN","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MAX","E_org_svoA5k_YJ_20231125T173038 - _step","E_org_svoA5k_YJ_20231125T173038 - _step__MIN","E_org_svoA5k_YJ_20231125T173038 - _step__MAX","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MIN","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"0","50","50","50","10.501656532287598","10.501656532287598","10.501656532287598","50","50","50","10.575224876403809","10.575224876403809","10.575224876403809","50","50","50","10.623152732849121","10.623152732849121","10.623152732849121","50","50","50","10.541089057922363","10.541089057922363","10.541089057922363","50","50","50","10.424466133117676","10.424466133117676","10.424466133117676"
"1","101","101","101","10.337555885314941","10.337555885314941","10.337555885314941","101","101","101","10.383089065551758","10.383089065551758","10.383089065551758","101","101","101","10.445246696472168","10.445246696472168","10.445246696472168","101","101","101","10.39624309539795","10.39624309539795","10.39624309539795","101","101","101","10.309856414794922","10.309856414794922","10.309856414794922"
"2","152","152","152","10.22215747833252","10.22215747833252","10.22215747833252","152","152","152","10.24625015258789","10.24625015258789","10.24625015258789","152","152","152","10.25545883178711","10.25545883178711","10.25545883178711","152","152","152","10.103800773620605","10.103800773620605","10.103800773620605","152","152","152","10.227389335632324","10.227389335632324","10.227389335632324"
"3","203","203","203","10.096277236938477","10.096277236938477","10.096277236938477","203","203","203","10.154393196105957","10.154393196105957","10.154393196105957","203","203","203","10.190069198608398","10.190069198608398","10.190069198608398","203","203","203","10.071478843688965","10.071478843688965","10.071478843688965","203","203","203","10.099647521972656","10.099647521972656","10.099647521972656"
"4","254","254","254","9.995773315429688","9.995773315429688","9.995773315429688","254","254","254","10.067422866821289","10.067422866821289","10.067422866821289","254","254","254","10.171679496765137","10.171679496765137","10.171679496765137","254","254","254","10.025652885437012","10.025652885437012","10.025652885437012","254","254","254","10.027974128723145","10.027974128723145","10.027974128723145"
"5","305","305","305","9.966719627380371","9.966719627380371","9.966719627380371","305","305","305","10.060295104980469","10.060295104980469","10.060295104980469","305","305","305","10.072975158691406","10.072975158691406","10.072975158691406","305","305","305","10.168461799621582","10.168461799621582","10.168461799621582","305","305","305","9.925470352172852","9.925470352172852","9.925470352172852"
"6","356","356","356","9.905293464660645","9.905293464660645","9.905293464660645","356","356","356","9.97164249420166","9.97164249420166","9.97164249420166","356","356","356","9.811062812805176","9.811062812805176","9.811062812805176","356","356","356","9.874935150146484","9.874935150146484","9.874935150146484","356","356","356","9.894006729125977","9.894006729125977","9.894006729125977"
"7","407","407","407","9.8663911819458","9.8663911819458","9.8663911819458","407","407","407","9.934515953063965","9.934515953063965","9.934515953063965","407","407","407","9.856058120727539","9.856058120727539","9.856058120727539","407","407","407","9.976767539978027","9.976767539978027","9.976767539978027","407","407","407","9.829113960266113","9.829113960266113","9.829113960266113"
"8","458","458","458","9.775307655334473","9.775307655334473","9.775307655334473","458","458","458","9.896854400634766","9.896854400634766","9.896854400634766","458","458","458","9.717719078063965","9.717719078063965","9.717719078063965","458","458","458","9.908658981323242","9.908658981323242","9.908658981323242","458","458","458","9.823776245117188","9.823776245117188","9.823776245117188"
"9","509","509","509","9.732165336608887","9.732165336608887","9.732165336608887","509","509","509","9.81999683380127","9.81999683380127","9.81999683380127","509","509","509","9.697759628295898","9.697759628295898","9.697759628295898","509","509","509","9.869267463684082","9.869267463684082","9.869267463684082","509","509","509","9.772506713867188","9.772506713867188","9.772506713867188"
