"epoch","new_k5_org_svoA5k_YJ_20231126T023922 - _step","new_k5_org_svoA5k_YJ_20231126T023922 - _step__MIN","new_k5_org_svoA5k_YJ_20231126T023922 - _step__MAX","new_k5_org_svoA5k_YJ_20231126T023922 - val_avg_reward","new_k5_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MIN","new_k5_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MAX","new_k20_org_svoA5k_YJ_20231126T023922 - _step","new_k20_org_svoA5k_YJ_20231126T023922 - _step__MIN","new_k20_org_svoA5k_YJ_20231126T023922 - _step__MAX","new_k20_org_svoA5k_YJ_20231126T023922 - val_avg_reward","new_k20_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MIN","new_k20_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MAX","new_k20_rel_svoA5k_YJ_20231124T215227 - _step","new_k20_rel_svoA5k_YJ_20231124T215227 - _step__MIN","new_k20_rel_svoA5k_YJ_20231124T215227 - _step__MAX","new_k20_rel_svoA5k_YJ_20231124T215227 - val_avg_reward","new_k20_rel_svoA5k_YJ_20231124T215227 - val_avg_reward__MIN","new_k20_rel_svoA5k_YJ_20231124T215227 - val_avg_reward__MAX","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - _step","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - _step__MIN","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - _step__MAX","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - val_avg_reward","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - val_avg_reward__MIN","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"0","50","50","50","10.502708435058594","10.502708435058594","10.502708435058594","50","50","50","10.599114418029785","10.599114418029785","10.599114418029785","50","50","50","10.68374252319336","10.68374252319336","10.68374252319336","50","50","50","10.432999610900879","10.432999610900879","10.432999610900879","50","50","50","10.424466133117676","10.424466133117676","10.424466133117676"
"1","101","101","101","10.426366806030273","10.426366806030273","10.426366806030273","101","101","101","10.517902374267578","10.517902374267578","10.517902374267578","101","101","101","10.412850379943848","10.412850379943848","10.412850379943848","101","101","101","10.20026969909668","10.20026969909668","10.20026969909668","101","101","101","10.309856414794922","10.309856414794922","10.309856414794922"
"2","152","152","152","10.282574653625488","10.282574653625488","10.282574653625488","152","152","152","10.287529945373535","10.287529945373535","10.287529945373535","152","152","152","10.329906463623047","10.329906463623047","10.329906463623047","152","152","152","10.162625312805176","10.162625312805176","10.162625312805176","152","152","152","10.227389335632324","10.227389335632324","10.227389335632324"
"3","203","203","203","10.1182222366333","10.1182222366333","10.1182222366333","203","203","203","10.22293472290039","10.22293472290039","10.22293472290039","203","203","203","10.202327728271484","10.202327728271484","10.202327728271484","203","203","203","10.028313636779785","10.028313636779785","10.028313636779785","203","203","203","10.099647521972656","10.099647521972656","10.099647521972656"
"4","254","254","254","10.069794654846191","10.069794654846191","10.069794654846191","254","254","254","10.129319190979004","10.129319190979004","10.129319190979004","254","254","254","10.075629234313965","10.075629234313965","10.075629234313965","254","254","254","9.941909790039062","9.941909790039062","9.941909790039062","254","254","254","10.027974128723145","10.027974128723145","10.027974128723145"
"5","305","305","305","9.968026161193848","9.968026161193848","9.968026161193848","305","305","305","10.06070327758789","10.06070327758789","10.06070327758789","305","305","305","10.03187370300293","10.03187370300293","10.03187370300293","305","305","305","9.936878204345703","9.936878204345703","9.936878204345703","305","305","305","9.925470352172852","9.925470352172852","9.925470352172852"
"6","356","356","356","9.905008316040039","9.905008316040039","9.905008316040039","356","356","356","10.054076194763184","10.054076194763184","10.054076194763184","356","356","356","9.986210823059082","9.986210823059082","9.986210823059082","356","356","356","9.923392295837402","9.923392295837402","9.923392295837402","356","356","356","9.894006729125977","9.894006729125977","9.894006729125977"
"7","407","407","407","9.884221076965332","9.884221076965332","9.884221076965332","407","407","407","10.039582252502441","10.039582252502441","10.039582252502441","407","407","407","9.897168159484863","9.897168159484863","9.897168159484863","407","407","407","9.88218879699707","9.88218879699707","9.88218879699707","407","407","407","9.829113960266113","9.829113960266113","9.829113960266113"
"8","458","458","458","9.84764575958252","9.84764575958252","9.84764575958252","458","458","458","10.033590316772461","10.033590316772461","10.033590316772461","458","458","458","9.834185600280762","9.834185600280762","9.834185600280762","458","458","458","9.813759803771973","9.813759803771973","9.813759803771973","458","458","458","9.823776245117188","9.823776245117188","9.823776245117188"
"9","509","509","509","9.811888694763184","9.811888694763184","9.811888694763184","509","509","509","9.936638832092285","9.936638832092285","9.936638832092285","509","509","509","9.86019229888916","9.86019229888916","9.86019229888916","509","509","509","9.789374351501465","9.789374351501465","9.789374351501465","509","509","509","9.772506713867188","9.772506713867188","9.772506713867188"
"10","560","560","560","9.78545093536377","9.78545093536377","9.78545093536377","560","560","560","9.940926551818848","9.940926551818848","9.940926551818848","560","560","560","9.816452980041504","9.816452980041504","9.816452980041504","560","560","560","9.739672660827637","9.739672660827637","9.739672660827637","560","560","560","9.862359046936035","9.862359046936035","9.862359046936035"
"11","611","611","611","9.770108222961426","9.770108222961426","9.770108222961426","611","611","611","9.930709838867188","9.930709838867188","9.930709838867188","611","611","611","9.783472061157227","9.783472061157227","9.783472061157227","611","611","611","9.700738906860352","9.700738906860352","9.700738906860352","611","611","611","9.719749450683594","9.719749450683594","9.719749450683594"
"12","662","662","662","9.691402435302734","9.691402435302734","9.691402435302734","662","662","662","9.837401390075684","9.837401390075684","9.837401390075684","662","662","662","9.75245189666748","9.75245189666748","9.75245189666748","662","662","662","9.73614501953125","9.73614501953125","9.73614501953125","662","662","662","9.694474220275879","9.694474220275879","9.694474220275879"
"13","713","713","713","9.71825122833252","9.71825122833252","9.71825122833252","713","713","713","9.936422348022461","9.936422348022461","9.936422348022461","713","713","713","9.755454063415527","9.755454063415527","9.755454063415527","713","713","713","9.705313682556152","9.705313682556152","9.705313682556152","713","713","713","9.699435234069824","9.699435234069824","9.699435234069824"
"14","764","764","764","9.689702033996582","9.689702033996582","9.689702033996582","764","764","764","9.81277847290039","9.81277847290039","9.81277847290039","764","764","764","9.760359764099121","9.760359764099121","9.760359764099121","764","764","764","9.721911430358887","9.721911430358887","9.721911430358887","764","764","764","9.649043083190918","9.649043083190918","9.649043083190918"
"15","815","815","815","9.656096458435059","9.656096458435059","9.656096458435059","815","815","815","9.88874340057373","9.88874340057373","9.88874340057373","815","815","815","9.706208229064941","9.706208229064941","9.706208229064941","815","815","815","9.665518760681152","9.665518760681152","9.665518760681152","815","815","815","9.651575088500977","9.651575088500977","9.651575088500977"
