"epoch","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172437 - _step","E_org_svo2080_YJ_20231125T172437 - _step__MIN","E_org_svo2080_YJ_20231125T172437 - _step__MAX","E_org_svo2080_YJ_20231125T172437 - val_avg_reward","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172153 - _step","E_rel_svo2080_YJ_20231125T172153 - _step__MIN","E_rel_svo2080_YJ_20231125T172153 - _step__MAX","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"0","50","50","50","4.33486795425415","4.33486795425415","4.33486795425415","50","50","50","4.416293144226074","4.416293144226074","4.416293144226074","50","50","50","4.514997482299805","4.514997482299805","4.514997482299805","50","50","50","4.338761329650879","4.338761329650879","4.338761329650879","50","50","50","4.535478115081787","4.535478115081787","4.535478115081787"
"1","101","101","101","4.16635274887085","4.16635274887085","4.16635274887085","101","101","101","4.246670722961426","4.246670722961426","4.246670722961426","101","101","101","4.335079669952393","4.335079669952393","4.335079669952393","101","101","101","4.174445152282715","4.174445152282715","4.174445152282715","101","101","101","4.504495620727539","4.504495620727539","4.504495620727539"
"2","152","152","152","4.069431781768799","4.069431781768799","4.069431781768799","152","152","152","4.163522243499756","4.163522243499756","4.163522243499756","152","152","152","4.275257587432861","4.275257587432861","4.275257587432861","152","152","152","4.118291854858398","4.118291854858398","4.118291854858398","152","152","152","4.473541736602783","4.473541736602783","4.473541736602783"
"3","203","203","203","3.9873030185699463","3.9873030185699463","3.9873030185699463","203","203","203","4.09775447845459","4.09775447845459","4.09775447845459","203","203","203","4.212526798248291","4.212526798248291","4.212526798248291","203","203","203","4.082605361938477","4.082605361938477","4.082605361938477","203","203","203","4.4562602043151855","4.4562602043151855","4.4562602043151855"
"4","254","254","254","3.9646472930908203","3.9646472930908203","3.9646472930908203","254","254","254","4.031029224395752","4.031029224395752","4.031029224395752","254","254","254","4.174610614776611","4.174610614776611","4.174610614776611","254","254","254","4.034809112548828","4.034809112548828","4.034809112548828","254","254","254","4.4511189460754395","4.4511189460754395","4.4511189460754395"
"5","305","305","305","3.9241034984588623","3.9241034984588623","3.9241034984588623","305","305","305","3.9799094200134277","3.9799094200134277","3.9799094200134277","305","305","305","4.120455265045166","4.120455265045166","4.120455265045166","305","305","305","4.018953323364258","4.018953323364258","4.018953323364258","305","305","305","4.449743747711182","4.449743747711182","4.449743747711182"
"6","356","356","356","3.879371404647827","3.879371404647827","3.879371404647827","356","356","356","3.9698801040649414","3.9698801040649414","3.9698801040649414","356","356","356","4.095563888549805","4.095563888549805","4.095563888549805","356","356","356","4.002773761749268","4.002773761749268","4.002773761749268","356","356","356","4.4500412940979","4.4500412940979","4.4500412940979"
"7","407","407","407","3.8668055534362793","3.8668055534362793","3.8668055534362793","407","407","407","3.95518159866333","3.95518159866333","3.95518159866333","407","407","407","4.060794830322266","4.060794830322266","4.060794830322266","407","407","407","3.9681413173675537","3.9681413173675537","3.9681413173675537","407","407","407","4.442781448364258","4.442781448364258","4.442781448364258"
"8","458","458","458","3.8307886123657227","3.8307886123657227","3.8307886123657227","458","458","458","3.922145366668701","3.922145366668701","3.922145366668701","458","458","458","4.033426761627197","4.033426761627197","4.033426761627197","458","458","458","3.942396879196167","3.942396879196167","3.942396879196167","458","458","458","4.440846920013428","4.440846920013428","4.440846920013428"
"9","509","509","509","3.8115570545196533","3.8115570545196533","3.8115570545196533","509","509","509","3.9216136932373047","3.9216136932373047","3.9216136932373047","509","509","509","3.9903879165649414","3.9903879165649414","3.9903879165649414","509","509","509","3.944918632507324","3.944918632507324","3.944918632507324","509","509","509","4.457948207855225","4.457948207855225","4.457948207855225"
