"epoch","new_k10_org_svo2080_YJ_20231124T214720 - _step","new_k10_org_svo2080_YJ_20231124T214720 - _step__MIN","new_k10_org_svo2080_YJ_20231124T214720 - _step__MAX","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward__MIN","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward__MAX","new_k10_rel_svo2080_YJ_20231124T214648 - _step","new_k10_rel_svo2080_YJ_20231124T214648 - _step__MIN","new_k10_rel_svo2080_YJ_20231124T214648 - _step__MAX","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward__MIN","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward__MAX","new_k20_org_svo2080_YJ_20231124T214616 - _step","new_k20_org_svo2080_YJ_20231124T214616 - _step__MIN","new_k20_org_svo2080_YJ_20231124T214616 - _step__MAX","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward__MIN","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward__MAX","new_k20_rel_svo2080_YJ_20231124T214554 - _step","new_k20_rel_svo2080_YJ_20231124T214554 - _step__MIN","new_k20_rel_svo2080_YJ_20231124T214554 - _step__MAX","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward__MIN","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward__MAX","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step__MIN","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step__MAX","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward__MIN","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward__MAX","new_k3_rel_svo2080_YJ_20231124T165906 - _step","new_k3_rel_svo2080_YJ_20231124T165906 - _step__MIN","new_k3_rel_svo2080_YJ_20231124T165906 - _step__MAX","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward__MIN","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward__MAX","new_k3_org_svo2080_YJ_20231124T165906 - _step","new_k3_org_svo2080_YJ_20231124T165906 - _step__MIN","new_k3_org_svo2080_YJ_20231124T165906 - _step__MAX","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward__MIN","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"0","50","50","50","4.5838751792907715","4.5838751792907715","4.5838751792907715","50","50","50","4.408308029174805","4.408308029174805","4.408308029174805","50","50","50","4.682775974273682","4.682775974273682","4.682775974273682","50","50","50","4.563809394836426","4.563809394836426","4.563809394836426","50","50","50","5.330636501312256","5.330636501312256","5.330636501312256","50","50","50","4.479413986206055","4.479413986206055","4.479413986206055","50","50","50","4.579202175140381","4.579202175140381","4.579202175140381","50","50","50","4.535478115081787","4.535478115081787","4.535478115081787"
"1","101","101","101","4.489542007446289","4.489542007446289","4.489542007446289","101","101","101","4.250161647796631","4.250161647796631","4.250161647796631","101","101","101","4.565742492675781","4.565742492675781","4.565742492675781","101","101","101","4.4235005378723145","4.4235005378723145","4.4235005378723145","101","101","101","5.1422119140625","5.1422119140625","5.1422119140625","101","101","101","4.370083808898926","4.370083808898926","4.370083808898926","101","101","101","4.5045623779296875","4.5045623779296875","4.5045623779296875","101","101","101","4.504495620727539","4.504495620727539","4.504495620727539"
"2","152","152","152","4.415688991546631","4.415688991546631","4.415688991546631","152","152","152","4.183219909667969","4.183219909667969","4.183219909667969","152","152","152","4.549161911010742","4.549161911010742","4.549161911010742","152","152","152","4.3442840576171875","4.3442840576171875","4.3442840576171875","152","152","152","4.9261603355407715","4.9261603355407715","4.9261603355407715","152","152","152","4.348607063293457","4.348607063293457","4.348607063293457","152","152","152","4.478778839111328","4.478778839111328","4.478778839111328","152","152","152","4.473541736602783","4.473541736602783","4.473541736602783"
"3","203","203","203","4.357697010040283","4.357697010040283","4.357697010040283","203","203","203","4.127516269683838","4.127516269683838","4.127516269683838","203","203","203","4.514370918273926","4.514370918273926","4.514370918273926","203","203","203","4.253065586090088","4.253065586090088","4.253065586090088","203","203","203","4.809921741485596","4.809921741485596","4.809921741485596","203","203","203","4.330915451049805","4.330915451049805","4.330915451049805","203","203","203","4.452574729919434","4.452574729919434","4.452574729919434","203","203","203","4.4562602043151855","4.4562602043151855","4.4562602043151855"
"4","254","254","254","4.309175968170166","4.309175968170166","4.309175968170166","254","254","254","4.105705261230469","4.105705261230469","4.105705261230469","254","254","254","4.458159923553467","4.458159923553467","4.458159923553467","254","254","254","4.183141231536865","4.183141231536865","4.183141231536865","254","254","254","4.6194891929626465","4.6194891929626465","4.6194891929626465","254","254","254","4.286235332489014","4.286235332489014","4.286235332489014","254","254","254","4.4539594650268555","4.4539594650268555","4.4539594650268555","254","254","254","4.4511189460754395","4.4511189460754395","4.4511189460754395"
"5","305","305","305","4.263351917266846","4.263351917266846","4.263351917266846","305","305","305","4.0693864822387695","4.0693864822387695","4.0693864822387695","305","305","305","4.431875228881836","4.431875228881836","4.431875228881836","305","305","305","4.1588134765625","4.1588134765625","4.1588134765625","305","305","305","4.5503082275390625","4.5503082275390625","4.5503082275390625","305","305","305","4.285571098327637","4.285571098327637","4.285571098327637","305","305","305","4.445862293243408","4.445862293243408","4.445862293243408","305","305","305","4.449743747711182","4.449743747711182","4.449743747711182"
"6","356","356","356","4.230979919433594","4.230979919433594","4.230979919433594","356","356","356","4.040279865264893","4.040279865264893","4.040279865264893","356","356","356","4.399909496307373","4.399909496307373","4.399909496307373","356","356","356","4.119714260101318","4.119714260101318","4.119714260101318","356","356","356","4.485673904418945","4.485673904418945","4.485673904418945","356","356","356","4.256039142608643","4.256039142608643","4.256039142608643","356","356","356","4.42082405090332","4.42082405090332","4.42082405090332","356","356","356","4.4500412940979","4.4500412940979","4.4500412940979"
"7","407","407","407","4.21408224105835","4.21408224105835","4.21408224105835","407","407","407","4.015729904174805","4.015729904174805","4.015729904174805","407","407","407","4.361525058746338","4.361525058746338","4.361525058746338","407","407","407","4.0840535163879395","4.0840535163879395","4.0840535163879395","407","407","407","4.416426658630371","4.416426658630371","4.416426658630371","407","407","407","4.270003318786621","4.270003318786621","4.270003318786621","407","407","407","4.426535129547119","4.426535129547119","4.426535129547119","407","407","407","4.442781448364258","4.442781448364258","4.442781448364258"
"8","458","458","458","4.200700283050537","4.200700283050537","4.200700283050537","458","458","458","4.0040202140808105","4.0040202140808105","4.0040202140808105","458","458","458","4.330557346343994","4.330557346343994","4.330557346343994","458","458","458","4.0749030113220215","4.0749030113220215","4.0749030113220215","458","458","458","4.389815807342529","4.389815807342529","4.389815807342529","458","458","458","4.245250225067139","4.245250225067139","4.245250225067139","458","458","458","4.4184064865112305","4.4184064865112305","4.4184064865112305","458","458","458","4.440846920013428","4.440846920013428","4.440846920013428"
"9","509","509","509","4.1894307136535645","4.1894307136535645","4.1894307136535645","509","509","509","3.9942893981933594","3.9942893981933594","3.9942893981933594","509","509","509","4.298390865325928","4.298390865325928","4.298390865325928","509","509","509","4.049616813659668","4.049616813659668","4.049616813659668","509","509","509","4.337135314941406","4.337135314941406","4.337135314941406","509","509","509","4.255161285400391","4.255161285400391","4.255161285400391","509","509","509","4.413181304931641","4.413181304931641","4.413181304931641","509","509","509","4.457948207855225","4.457948207855225","4.457948207855225"
