"epoch","E_org_k5_rel_svo2080_YJ_20231126T023556 - _step","E_org_k5_rel_svo2080_YJ_20231126T023556 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T023556 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T023556 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T023556 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T023556 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T023548 - _step","E_rel_k5_rel_svo2080_YJ_20231126T023548 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T023548 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T023548 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T023548 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T023548 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172521 - _step","E_org_svo2080_YJ_20231125T172521 - _step__MIN","E_org_svo2080_YJ_20231125T172521 - _step__MAX","E_org_svo2080_YJ_20231125T172521 - val_avg_reward","E_org_svo2080_YJ_20231125T172521 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172521 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172513 - _step","E_rel_svo2080_YJ_20231125T172513 - _step__MIN","E_rel_svo2080_YJ_20231125T172513 - _step__MAX","E_rel_svo2080_YJ_20231125T172513 - val_avg_reward","E_rel_svo2080_YJ_20231125T172513 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172513 - val_avg_reward__MAX","k0_rel_svo2080_YJ_20231123T021356 - _step","k0_rel_svo2080_YJ_20231123T021356 - _step__MIN","k0_rel_svo2080_YJ_20231123T021356 - _step__MAX","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MIN","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MAX"
"0","50","50","50","7.273431301116943","7.273431301116943","7.273431301116943","50","50","50","7.272149085998535","7.272149085998535","7.272149085998535","50","50","50","7.3730149269104","7.3730149269104","7.3730149269104","50","50","50","7.187933444976807","7.187933444976807","7.187933444976807","50","50","50","7.1638264656066895","7.1638264656066895","7.1638264656066895"
"1","101","101","101","7.189033508300781","7.189033508300781","7.189033508300781","101","101","101","7.140671730041504","7.140671730041504","7.140671730041504","101","101","101","7.216148376464844","7.216148376464844","7.216148376464844","101","101","101","7.028702259063721","7.028702259063721","7.028702259063721","101","101","101","7.109364986419678","7.109364986419678","7.109364986419678"
"2","152","152","152","7.083195209503174","7.083195209503174","7.083195209503174","152","152","152","7.269529819488525","7.269529819488525","7.269529819488525","152","152","152","7.151417255401611","7.151417255401611","7.151417255401611","152","152","152","6.8621087074279785","6.8621087074279785","6.8621087074279785","152","152","152","7.029398441314697","7.029398441314697","7.029398441314697"
"3","203","203","203","6.978711128234863","6.978711128234863","6.978711128234863","203","203","203","7.095718860626221","7.095718860626221","7.095718860626221","203","203","203","7.06543493270874","7.06543493270874","7.06543493270874","203","203","203","6.785514831542969","6.785514831542969","6.785514831542969","203","203","203","7.011984348297119","7.011984348297119","7.011984348297119"
"4","254","254","254","6.894033432006836","6.894033432006836","6.894033432006836","254","254","254","7.012589931488037","7.012589931488037","7.012589931488037","254","254","254","7.049165725708008","7.049165725708008","7.049165725708008","254","254","254","6.696240425109863","6.696240425109863","6.696240425109863","254","254","254","6.960553169250488","6.960553169250488","6.960553169250488"
"5","305","305","305","6.846549034118652","6.846549034118652","6.846549034118652","305","305","305","6.978613376617432","6.978613376617432","6.978613376617432","305","305","305","7.004091262817383","7.004091262817383","7.004091262817383","305","305","305","6.634557723999023","6.634557723999023","6.634557723999023","305","305","305","6.9039506912231445","6.9039506912231445","6.9039506912231445"
"6","356","356","356","6.788670539855957","6.788670539855957","6.788670539855957","356","356","356","6.988260746002197","6.988260746002197","6.988260746002197","356","356","356","6.973841190338135","6.973841190338135","6.973841190338135","356","356","356","6.61428689956665","6.61428689956665","6.61428689956665","356","356","356","6.924306392669678","6.924306392669678","6.924306392669678"
"7","407","407","407","6.674272060394287","6.674272060394287","6.674272060394287","407","407","407","6.861052989959717","6.861052989959717","6.861052989959717","407","407","407","6.88095235824585","6.88095235824585","6.88095235824585","407","407","407","6.584000110626221","6.584000110626221","6.584000110626221","407","407","407","6.876978874206543","6.876978874206543","6.876978874206543"
"8","458","458","458","6.649316310882568","6.649316310882568","6.649316310882568","458","458","458","6.836714267730713","6.836714267730713","6.836714267730713","458","458","458","6.913243770599365","6.913243770599365","6.913243770599365","458","458","458","6.551014423370361","6.551014423370361","6.551014423370361","458","458","458","6.8580522537231445","6.8580522537231445","6.8580522537231445"
"9","509","509","509","6.533154487609863","6.533154487609863","6.533154487609863","509","509","509","6.7857794761657715","6.7857794761657715","6.7857794761657715","509","509","509","6.847064018249512","6.847064018249512","6.847064018249512","509","509","509","6.522119522094727","6.522119522094727","6.522119522094727","509","509","509","6.881186485290527","6.881186485290527","6.881186485290527"
