"epoch","new_k5_org_svo2080_YJ_20231126T023720 - _step","new_k5_org_svo2080_YJ_20231126T023720 - _step__MIN","new_k5_org_svo2080_YJ_20231126T023720 - _step__MAX","new_k5_org_svo2080_YJ_20231126T023720 - val_avg_reward","new_k5_org_svo2080_YJ_20231126T023720 - val_avg_reward__MIN","new_k5_org_svo2080_YJ_20231126T023720 - val_avg_reward__MAX","new_k10_org_svo2080_YJ_20231126T023711 - _step","new_k10_org_svo2080_YJ_20231126T023711 - _step__MIN","new_k10_org_svo2080_YJ_20231126T023711 - _step__MAX","new_k10_org_svo2080_YJ_20231126T023711 - val_avg_reward","new_k10_org_svo2080_YJ_20231126T023711 - val_avg_reward__MIN","new_k10_org_svo2080_YJ_20231126T023711 - val_avg_reward__MAX","new_k10_rel_svo2080_YJ_20231124T215107 - _step","new_k10_rel_svo2080_YJ_20231124T215107 - _step__MIN","new_k10_rel_svo2080_YJ_20231124T215107 - _step__MAX","new_k10_rel_svo2080_YJ_20231124T215107 - val_avg_reward","new_k10_rel_svo2080_YJ_20231124T215107 - val_avg_reward__MIN","new_k10_rel_svo2080_YJ_20231124T215107 - val_avg_reward__MAX","new_k5_rel_fast_svo2080_YJ_20231124T191454 - _step","new_k5_rel_fast_svo2080_YJ_20231124T191454 - _step__MIN","new_k5_rel_fast_svo2080_YJ_20231124T191454 - _step__MAX","new_k5_rel_fast_svo2080_YJ_20231124T191454 - val_avg_reward","new_k5_rel_fast_svo2080_YJ_20231124T191454 - val_avg_reward__MIN","new_k5_rel_fast_svo2080_YJ_20231124T191454 - val_avg_reward__MAX","k0_rel_svo2080_YJ_20231123T021356 - _step","k0_rel_svo2080_YJ_20231123T021356 - _step__MIN","k0_rel_svo2080_YJ_20231123T021356 - _step__MAX","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MIN","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MAX"
"0","50","50","50","7.245510101318359","7.245510101318359","7.245510101318359","50","50","50","7.364140033721924","7.364140033721924","7.364140033721924","50","50","50","7.304184436798096","7.304184436798096","7.304184436798096","50","50","50","7.274450778961182","7.274450778961182","7.274450778961182","50","50","50","7.1638264656066895","7.1638264656066895","7.1638264656066895"
"1","101","101","101","7.2244343757629395","7.2244343757629395","7.2244343757629395","101","101","101","7.212861061096191","7.212861061096191","7.212861061096191","101","101","101","7.188251495361328","7.188251495361328","7.188251495361328","101","101","101","7.206792831420898","7.206792831420898","7.206792831420898","101","101","101","7.109364986419678","7.109364986419678","7.109364986419678"
"2","152","152","152","7.071188926696777","7.071188926696777","7.071188926696777","152","152","152","7.118249416351318","7.118249416351318","7.118249416351318","152","152","152","7.104142189025879","7.104142189025879","7.104142189025879","152","152","152","7.086436748504639","7.086436748504639","7.086436748504639","152","152","152","7.029398441314697","7.029398441314697","7.029398441314697"
"3","203","203","203","6.991147041320801","6.991147041320801","6.991147041320801","203","203","203","7.041767120361328","7.041767120361328","7.041767120361328","203","203","203","7.036727428436279","7.036727428436279","7.036727428436279","203","203","203","7.025691986083984","7.025691986083984","7.025691986083984","203","203","203","7.011984348297119","7.011984348297119","7.011984348297119"
"4","254","254","254","6.953028202056885","6.953028202056885","6.953028202056885","254","254","254","7.014819622039795","7.014819622039795","7.014819622039795","254","254","254","7.001522064208984","7.001522064208984","7.001522064208984","254","254","254","7.017953872680664","7.017953872680664","7.017953872680664","254","254","254","6.960553169250488","6.960553169250488","6.960553169250488"
"5","305","305","305","6.936758518218994","6.936758518218994","6.936758518218994","305","305","305","6.989668846130371","6.989668846130371","6.989668846130371","305","305","305","6.911634922027588","6.911634922027588","6.911634922027588","305","305","305","6.9308037757873535","6.9308037757873535","6.9308037757873535","305","305","305","6.9039506912231445","6.9039506912231445","6.9039506912231445"
"6","356","356","356","6.898464202880859","6.898464202880859","6.898464202880859","356","356","356","6.944716453552246","6.944716453552246","6.944716453552246","356","356","356","6.855687618255615","6.855687618255615","6.855687618255615","356","356","356","6.935790538787842","6.935790538787842","6.935790538787842","356","356","356","6.924306392669678","6.924306392669678","6.924306392669678"
"7","407","407","407","6.9216742515563965","6.9216742515563965","6.9216742515563965","407","407","407","6.925426006317139","6.925426006317139","6.925426006317139","407","407","407","6.839916229248047","6.839916229248047","6.839916229248047","407","407","407","6.889388084411621","6.889388084411621","6.889388084411621","407","407","407","6.876978874206543","6.876978874206543","6.876978874206543"
"8","458","458","458","6.859320163726807","6.859320163726807","6.859320163726807","458","458","458","6.905149936676025","6.905149936676025","6.905149936676025","458","458","458","6.791818141937256","6.791818141937256","6.791818141937256","458","458","458","6.8845014572143555","6.8845014572143555","6.8845014572143555","458","458","458","6.8580522537231445","6.8580522537231445","6.8580522537231445"
"9","509","509","509","6.856418609619141","6.856418609619141","6.856418609619141","509","509","509","6.872187614440918","6.872187614440918","6.872187614440918","509","509","509","6.774849891662598","6.774849891662598","6.774849891662598","509","509","509","6.92787504196167","6.92787504196167","6.92787504196167","509","509","509","6.881186485290527","6.881186485290527","6.881186485290527"
